序号,动画,看完时间,第二次看完,状态,状态
140,六样情——《黑神话：悟空》章节动画原版合集,2024,,2,已看
141,悠哉日常大王 第三季,2025,,2,已看
142,"世界顶尖的暗杀者,转生为异世界贵族",2024,,2,已看
143,我的三体 第四季,2024,,2,已看
144,白色闪电,,,3,未看
145,风灵玉秀,2017,,2,已看
146,怪兽8号,2024,,2,已看
147,鬼灭之刃 柱训练篇,,,2,已看
148,夜晚的水母不会游泳,2024,,2,已看
149,间谍过家家 第二季 中配版,,,2,已看
150,时光代理人 第二季,2024,,2,已看
151,罗小黑战记,2017,,2,已看
152,欢迎光临樱兰高校,2023,,2,已看
153,落第骑士英雄谭,2024,,2,已看
154,迷宫饭,2024,,2,已看
155,阿诺德和他可爱的木偶们,2017,,2,已看
156,小药童也想修仙,2023,,2,已看
157,喜羊羊与灰太狼,2014,,2,已看
158,小绿和小蓝 第五季,2025/4/,,2,已看
159,百妖谱·司府篇,2024,,2,已看
160,亏成首富从游戏开始,2024,,2,已看
161,汉化日记 第四季,2024,,2,已看
162,青梅竹马绝对不会输的恋爱喜剧,2022,,2,已看
163,十二国记,,,2,已看
164,香格里拉边境,2024,,2,
165,昏行者 & 炫目篝火,2024,,2,
166,我独自升级,2025/4/,,2,
167,捕星司·源起,2024,,2,
168,少年歌行 海外仙山篇,2024,,2,
169,葬送的芙莉莲,2024,Jun-25,2,
170,剑网3·侠肝义胆沈剑心 第三季,2022,,2,
171,无脑魔女,2024,,2,
172,巴啦啦小魔仙之彩虹心石,,,2,
173,明日酱的水手服,2024,,2,
174,神薙,2024,,2,
175,核爆默示录,2023,,2,
176,灰与幻想的格林姆迦尔,2023,,2,
177,灰与幻想的格林姆迦尔 OVA,2023,,2,
178,天体的秩序,2024,,2,
179,少女手工,2024,,2,
180,西游记,,,2,
181,加速世界 Infinite Burst,2023,,2,
182,仙王的日常生活 第四季,2024,,2,
183,跟班×服务,2024,,2,
184,正经少主的幸福生活,2024,,2,
185,加速世界,2023,,2,
186,天体的秩序SP,2024,,2,
187,小绿和小蓝 第四季,2023,,2,
188,间谍过家家 第二季,2024,,2,
189,加速世界 OVA2 加速的顶点,2023,,2,
190,加速世界 OVA1 银翼的觉醒,2023,,2,
191,小加速世界,2023,,2,
192,凹凸世界 第四季,2022,,2,
193,命运拳台,2024,,2,
194,旅途危机！圣芙蕾雅号特别事件,2024,,2,
195,咒术回战 第二季,2024,,2,
196,地狱少女 宵伽,2024,,2,
197,绝园的暴风雨,2024,,2,
198,地狱少女 二笼,2024,,2,
199,地狱少女 三鼎,2024,,2,
200,地狱少女,2024,,2,
201,盾之勇者成名录 第三季,2024,,2,
202,未来都市No.6,2023,,2,
203,ACCA13区监察课－Regards,2023,,2,
204,ACCA13区监察课,2023,,2,
205,见面5秒开始战斗,2023,,2,
206,三十六骑,2024,,2,
207,×××HOLiC 继,2024,,2,
208,×××HOLiC 仲夏夜之梦,2024,,2,
209,×××HOLiC 笼 徒梦,2024,,2,
210,×××HOLiC 春梦记,2024,,2,
211,×××HOLiC 笼,2024,,2,
212,小刻的画图写话 中配版,,,2,
213,×××HOLiC,2024,,2,
214,键等学园/键等 第二季,2022,,2,
215,为美好的世界献上爆焰！,2023,,2,
216,赛马娘 第三季,2024,,2,
217,梦塔·雪谜城,2018,,2,
218,特别篇 吹响吧！上低音号～合奏比赛～,,,2,
219,小绿和小蓝 第三季,2023,,2,
220,刻刻,2023,,2,
221,Ｄｒ．ＳＴＯＮＥ 石纪元 (第三季),2023,,2,
222,猫之茗,2022,,2,
223,龙隐于雪,2022,,2,
224,永生之酒,2023,,2,
225,异空战歌,2023/12/3,,2,
226,异常生物见闻录 特别篇,2023,,2,
227,异常生物见闻录,2023,,2,
228,明日方舟：冬隐归路 中配版,2024,,2,
229,赛马娘 巅峰之路,,,2,
230,与变成了异世界美少女的好友一起冒险,,,2,
231,赘婿,,,2,
232,你真是个天才,,,2,
233,汉化日记 第二季,,,2,
234,妖精森林的小不点,,,2,
235,爱上她的理由,,,2,
236,镇魂街 第三季,,,2,
237,战千年,,,2,
238,无限滑板 / SK8 the Infinity,,,2,
239,端脑,,,2,
240,第一序列,,,2,
241,君有云,,,2,
242,火凤燎原,,,2,
243,区区不才，在下野怪,,,2,
244,文豪野犬 第五季,,,2,
245,辉夜大小姐想让我告白 -究极浪漫- 中配版,,,2,
246,小绿和小蓝 第二季,2023,,2,
247,间谍过家家 中配版,,,2,
248,武林不二周刊,,,2,
249,时光代理人,,,2,
250,爱幽的密室,,,2,
251,电器少女,,,2,
252,食草老龙被冠以恶龙之名,,,2,
253,命运-奇异赝品 黎明低语,,,2,
254,总之就是非常可爱 第二季,,,2,
255,雾山五行,,,2,
256,鬼灭之刃 刀匠村篇,,,2,
257,机甲少女 FRAME ARMS GIRL,,,2,
258,男子高中生的日常 SP,,,2,
259,散华礼弥,,,2,
260,美妙射击部,,,2,
261,博人传 火影忍者新时代,,,2,
262,GJ部@,,,2,
263,GJ部,,,2,
264,高分少女 第二季,,,2,
265,女武神的餐桌 第二季,,,2,
266,黄金庭院：冬日里的新年愿望,,,2,
267,女武神的餐桌,,,2,
268,人偶学园,,,2,
269,圣诞之吻SS+ SP,,,2,
270,圣诞之吻SS+ plus,,,2,
271,在魔王城说晚安,,,2,
272,魔法少女小圆 剧场版 [后篇] 永远的物语,,,2,
273,魔法少女小圆 剧场版 [前篇] 起始的物语,,,2,
274,我们仍未知道那天所看见的花的名字。 剧场版,,,2,
275,夏目友人帐 唤石者与怪异的访客（中配）,,,2,
276,长门有希酱的消失 OAD,,,2,
277,长门有希酱的消失,,,2,
278,凉宫春日的消失,,,2,
279,小凉宫春日的忧郁,,,2,
280,大雪海的卡纳,,,2,
281,外之国的少女,,,2,
282,乒乓,,,2,
283,吹响吧！上低音号～想要传达的旋律～,,,2,
284,吹响吧！上低音号～欢迎来到北宇治高中吹奏乐部～,,,2,
285,国王排名 勇气的宝箱,,,2,
286,ALDNOAH.ZERO 第二季,,,2,
287,ALDNOAH.ZERO,,,2,
288,成龙历险记 中文配音,,,2,
289,天真与闪电,,,2,
290,四叠半神话大系,,,2,
291,命运之夜——天之杯Ⅲ：春之歌,,,2,
292,因为太怕痛就全点防御力了 第二季,,,2,
293,请吃红小豆吧！第0.5季,,,2,
294,神在月的孩子,,,2,
295,Thunderbolt Fantasy 东离剑游纪2,,,2,
296,Thunderbolt Fantasy 东离剑游纪 生死一剑,,,2,
297,Thunderbolt Fantasy 东离剑游纪,,,2,
298,Thunderbolt Fantasy 东离剑游纪 西幽玹歌,,,2,
299,降世神通 第三季 中文配音,,,2,
300,降世神通 第二季 中文配音,,,2,
301,降世神通 第一季 中文配音,,,2,
302,致不灭的你 第二季,,,2,
303,命运-冠位指定 -神圣圆桌领域卡美洛- 后篇 圣骑士银之臂,,,2,
304,命运-冠位指定 -神圣圆桌领域卡美洛- 前篇 漂泊的银之臂,,,2,
305,绯弹的亚里亚 第一季 OVA,,,2,
306,白兔糖 特典,,,2,
307,大正少女御伽话,,,2,
308,白兔糖,,,2,
309,学战都市Asterisk 第二季,,,2,
310,ENDRO~!,,,2,
311,街角魔族 第二季,,,2,
312,目隐都市的演绎者,,,2,
313,街角魔族,,,2,
314,文豪野犬 汪！,,,2,
315,萌单,,,2,
316,鲤氏侦探事务所 中配版,,,2,
317,轮回的拉格朗日 第二季,,,2,
318,虚构推理 第二季,,,2,
319,神的记事本,,,2,
320,轮回的拉格朗日,,,2,
321,宣告黎明的露之歌,,,2,
322,装甲重拳/MEGALOBOX,,,2,
323,装甲重拳/MEGALOBOX 第二季,,,2,
324,枪神剧场版,,,2,
325,两不疑 第二季,,,2,
326,鸦KARAS,,,2,
327,天元突破红莲螺岩,,,2,
328,To Heart 回忆永恒,,,2,
329,冰海战记,,,2,
330,心之彼端2 迷宫旅行者,,,2,
331,心之彼端2 Adnext,,,2,
332,心之彼端2 Adplus,,,2,
333,心之彼端2 Another Day,,,2,
334,心之彼端2 OVA,,,2,
335,春宵苦短，少女前进吧,,,2,
336,四叠半时光机布鲁斯,,,2,
337,轮回的拉格朗日 鸭川日常,,,2,
338,龙娘七七七埋藏的宝藏,,,2,
339,蓝色时期,,,3,
340,凹凸世界 第三季,,,2,
341,全部成为F -THE PERFECT INSIDER-,,,2,
342,思维覆写,,,2,
343,铁腕巴迪 DECODE 第二季,,,2,
344,学战都市Asterisk,,,2,
345,辉夜大小姐想让我告白 剧场版,,,2,
346,巴哈姆特之怒 GENESIS,,,2,
347,铁腕巴迪 DECODE,,,2,
348,青之文学,,,2,
349,最后的召唤师,,,2,
350,百武装战记,,,2,
351,忧国的莫里亚蒂 后半,,,2,
352,忧国的莫里亚蒂,,,2,
353,文豪野犬 第四季,,,2,
354,雏子的笔记,,,2,
355,漂流家园,,,2,
356,奇幻世界舅舅,,,2,
357,紫罗兰永恒花园 中配版,,,2,
358,路人超能100 III(灵能百分百 第三季),,,2,
359,三体,,,2,
360,黑执事,,,2,
361,黑执事II,,,2,
362,我家大师兄有点靠谱,2023,,2,
363,请吃红小豆吧！ 第四季,,,2,
364,黑门,,,2,
365,靠你啦！战神系统,,,2,
366,无限世界,,,2,
367,元龙 第三季,,,2,
368,中医故事,,,2,
369,伍六七之暗影宿命,,,2,
370,JOJO的奇妙冒险 石之海,,,2,
371,喂，看见耳朵啦 第二季,,,2,
372,0号宿舍,,,2,
373,H2O 赤砂的印记,,,2,
374,绯弹的亚里亚 AA,,,2,
375,CAROLE & TUESDAY,,,2,
376,喂，看见耳朵啦,,,2,
377,我开动物园那些年,,,2,
378,间谍过家家,,,2,
379,樱子小姐的脚下埋着秘密,,,2,
380,悠久之翼2,,,2,
381,间谍过家家 粤配版,,,2,
382,没出息的阴阳师一家3,,,2,
383,没出息的阴阳师一家2,,,2,
384,没出息的阴阳师一家,,,2,
385,伽利略少女,,,2,
386,泡泡,,,2,
387,酷爱电影的庞波小姐,,,2,
388,中国奇谭,,,2,
389,孤独摇滚！,,,2,
390,瓦尼塔斯的手记,,,2,
391,处刑少女的生存之道,,,2,
392,里亚德录大地,,,2,
393,文豪野犬?第三季,,,2,
394,地缚少年花子君,,,2,
395,EVA 新世纪福音战士剧场版：Air / 真心为你,,,2,
396,EVA 新世纪福音战士,,,2,
397,悠哉日常大王 Repeat OAD,,,2,
398,剧场版 悠哉日常大王 Vacation,,,2,
399,绽放的阿尔斯诺特利亚,,,2,
400,创之界限,,,2,
401,龙王的工作！,,,2,
402,辉夜大小姐想让我告白？ 中配版,,,2,
403,辉夜大小姐想让我告白 中配版,,,2,
404,请吃红小豆吧！ 第三季,,,2,
405,悠久之翼,,,2,
406,圣诞之吻SS,,,2,
407,绯弹的亚里亚,,,2,
408,奇巧出租车,,,2,
409,苍之彼方的四重奏,,,2,
410,请吃红小豆吧！外传 莫相忘,,,2,
411,仙王的日常生活 第三季,,,2,
412,请吃红小豆吧！第二季,,,2,
413,理科生坠入情网，故尝试证明。 第二季 中配版,,,2,
414,明日方舟：黎明前奏 中配版,2023,,2,
415,莉可丽丝,2022,,2,
416,灼眼的夏娜 OVA 恋爱与温泉的校外学习！,,,2,
417,这个美术社大有问题！,2022,,2,
418,属性咖啡厅,2023,,2,
419,灼眼的夏娜,,,2,
420,绝顶,2023,,2,
421,魔笛MAGI 辛巴达的冒险,,,2,
422,霹雳英雄战纪之刀说异数（普通话）,,,2,
423,心之彼端2,,,2,
424,鬼平,,,2,
425,魔笛MAGI 第二季,,,2,
426,新围棋少年,2023,,2,
427,约定的梦幻岛 粤配版,,,2,
428,幸运星,,,3,
429,恋爱随意链接,,,3,
430,死神少爷与黑女仆,2022,,2,
431,NEKOPARA EXTRA 小猫篇（猫娘乐园）,,,2,
432,魔笛MAGI,,,2,
433,寻找失去的未来,,,2,
434,夏日重现,2022,,2,
435,记录的地平线 圆桌崩坏,2022,,2,
436,记录的地平线 第二季,2022,,2,
437,记录的地平线,2022,,2,
438,虫师 续章 铃之雫,,,2,
439,机器人笔记,,,2,
440,弹丸论破3 -绝望篇-,,,2,
441,弹丸论破3 -未来篇-,,,2,
442,超级弹丸论破2.5 狛枝凪斗与世界的破坏者,,,2,
443,弹丸论破,,,2,
444,鬼灭之刃 无限列车篇 中配版,,,2,
445,小木乃伊到我家,,,2,
446,3月的狮子 第二季,,,2,
447,幻界战线 & BEYOND,2023,,2,
448,幻界战线,2023,,2,
449,命运-冠位指定 冠位时间神殿所罗门,,,2,
